DATA_ELEMENT,QUERY,NEEDLE_TEXT
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Research consent signed: clinical trial investigating investigational device in sepsis patients.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Patient enrolled in experimental study for sepsis - consent signed during this hospital stay.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Patient continues active participation in investigational treatment for sepsis (enrolled prior to arrival).
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Patient enrolled in randomized controlled trial for sepsis-3 criteria - consent signed today.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Research consent signed: phase III trial investigating study medication in sepsis-3 criteria patients.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Patient continues active participation in research study for sepsis (enrolled prior to arrival).
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.","Per informed consent, patient participating in research study evaluating experimental antibiotic for severe sepsis."
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Signed consent form for investigational treatment studying patients with sepsis.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.","Per clinical trial consent, patient participating in study protocol evaluating investigational device for sepsis."
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Signed consent form for investigational treatment studying patients with sepsis.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.","Per signed consent form, patient participating in randomized controlled trial evaluating investigational device for severe sepsis."
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Research consent signed: experimental study investigating investigational drug in septic shock patients.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",informed consent documents patient enrollment in research study - study population: sepsis syndrome.
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.","Per informed consent, patient participating in research study evaluating investigational device for severe sepsis."
"Clinical Trial, Severe Sepsis","During this hospital stay, was the patient enrolled in a clinical trial in which patients with the same condition as the measure set were being studied? Note: Select 'Yes' ONLY if BOTH of the following are true: 1. There is a signed consent form for a clinical trial (experimental study with treatment/intervention assignment, often randomized). 2. The consent form documents that during this hospital stay the patient was enrolled in a clinical trial studying patients with sepsis, severe sepsis, or septic shock. Select 'No' for observational studies (registries, data collection only), unclear study types, clinical trials studying conditions other than sepsis, or if no documentation.",Patient continues active participation in phase III trial for severe sepsis (enrolled prior to arrival).
