DATA_ELEMENT,QUERY,NEEDLE_TEXT
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",APN documents order for consultation or evaluation by a hospice care service: comfort measures only.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",physician documents order for consultation or evaluation by a hospice care service: end of life care.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",DNR-Comfort Care form signed prior to arrival with terminal extubation option selected.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.","Per PA emergency department note, patient or patient representative request for comfort measures only: comfort measures only."
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",Patient has DNR-Comfort Care form signed by PA with palliative care selected.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",POLST (Physician Orders for Life-Sustaining Treatment) signed prior to arrival with palliative consult option selected.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",nurse practitioner orders order for consultation or evaluation by a hospice care service: Brain death.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",physician documents plan for comfort measures only: hospice.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.",Patient has MOLST (Medical Orders for Life-Sustaining Treatment) signed by physician assistant with hospice selected.
"Directive for Comfort Care or Palliative Care, Severe Sepsis","Is there physician/APN/PA documentation of comfort measures only, palliative care, or another acceptable inclusion term within an acceptable context? Note: Acceptable contexts include comfort measures only recommendation, order for hospice consultation, patient request for comfort measures only, plan for comfort measures only, or referral to hospice. Also accept SAPOs with CMO option checked if dated and signed prior to arrival, unless contradicted by documentation on day of arrival. Do NOT accept documentation that is only discussion/consideration, negative/conditional statements, or dated prior to arrival.","Per physician assistant history and physical, order for consultation or evaluation by a hospice care service: comfort only."
