DATA_ELEMENT,QUERY,NEEDLE_TEXT
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",family does not want blood work before fluids initiated.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Patient does not want HIV blood test before fluids initiated.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",provider documents patient at time of triage.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Declined antibiotics at time of triage - will treat symptomatically.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",nurse notes: POA declined hydration before fluids initiated.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",authorized advocate declined blood draw and further interventions during initial assessment.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",at time of triage: power of attorney unwilling to blood work.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Provider documents refusal of IV antibiotics by healthcare proxy upon presentation.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",MD note: patient unwilling to staying in the ED.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Refusing all at this time.
