DATA_ELEMENT,QUERY,NEEDLE_TEXT
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",No vasopressor administration documented within specified time frame.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Medication Administration Record shows phenylephrine ordered but no documentation of administration.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Unable to determine if vasopressor administered within specified time frame.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",norepinephrine started at within the specified time frame - beyond the six-hour window.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.","Per ambulance record, phenylephrine vasopressor running via intravenous within 1 hour of presentation."
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",No documentation of IV or IO vasopressor administration.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Medication Administration Record documents Adrenalin vasopressor running IO within the specified time frame.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Patient receiving phenylephrine via IO at time of triage - vasopressor given within the specified time frame.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",IV flow sheet shows epinephrine on continuous infusion IV at 08:00.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Vasopressor mentioned in narrative note only - no MAR documentation.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",vasopressin infusion vasopressor given per Emergency Department record within 1 hour of presentation.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.","Per MAR, patient not on any vasopressors at 08:00."
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Patient on vasopressin drip initiated at presentation within 1 hour of presentation.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",No documentation of IV or IO vasopressor administration.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Unable to determine if vasopressor administered within specified time frame.
"Vasopressor Administration, Severe Sepsis","Based on SEP-1 guidelines, was an intravenous or intraosseous vasopressor administered within the specified time frame? The specified time frame starts at Septic Shock Presentation Time and ends six hours after. Note: Select 'Yes' if there is documentation of actual administration (e.g., 'vasopressor running', 'vasopressor given') of an IV or IO vasopressor from Appendix C, Table 5.2. Acceptable sources include MAR, IV flow sheets, nursing notes, physician notes, and transport records. Do not abstract orders unless designated as given. Do not abstract test doses or non-IV/IO routes. Select 'No' if no vasopressor administered within time frame, or unable to determine.",Patient receiving phenylephrine via intravenous at time of triage - on continuous infusion at septic shock presentation.
