element,method,recall
Clinical Trial,BM25,0.786
Clinical Trial,ColBERT,0.825
Clinical Trial,FAISS,0.839
Clinical Trial,FAISS MMR,0.839
Clinical Trial,Hybrid,0.89
Clinical Trial,Semantic Chunking,0.843
Clinical Trial,SPLADE,0.951
Comfort Care,BM25,0.639
Comfort Care,ColBERT,0.791
Comfort Care,FAISS,0.737
Comfort Care,FAISS MMR,0.745
Comfort Care,Hybrid,0.826
Comfort Care,Semantic Chunking,0.738
Comfort Care,SPLADE,0.91
Severe Sepsis,BM25,0.648
Severe Sepsis,ColBERT,0.832
Severe Sepsis,FAISS,0.767
Severe Sepsis,FAISS MMR,0.798
Severe Sepsis,Hybrid,0.869
Severe Sepsis,Semantic Chunking,0.77
Severe Sepsis,SPLADE,0.886
Vasopressor,BM25,0.574
Vasopressor,ColBERT,0.783
Vasopressor,FAISS,0.629
Vasopressor,FAISS MMR,0.661
Vasopressor,Hybrid,0.752
Vasopressor,Semantic Chunking,0.64
Vasopressor,SPLADE,0.908
